From*, To*, Rate, 
1, 11, 0.00588235294117647, 
2, 4, 0.0145248509475477, 
2, 6, 3.32706366669033e-05, 
2, 7, 0.000401465682447299, 
2, 9, 0.135397073958407, 
2, 11, 0.000375958194336007, 
2, 14, 1.10902122223011e-06, 
4, 2, 0.00421961046081961, 
4, 6, 4.76792142465492e-05, 
4, 7, 0.000357594106849119, 
4, 9, 0.00233628149808091, 
4, 11, 0.000381433713972394, 
4, 14, 0.00109662192767063, 
6, 2, 0.00474924012158055, 
6, 4, 0.000678462874511507, 
6, 7, 0.0121173469387755, 
6, 9, 0.00213037342596613, 
6, 11, 0.000949848024316109, 
6, 14, 0.000434216239687364, 
7, 2, 0.00142705550880018, 
7, 4, 0.000292729335138498, 
7, 6, 0.0143437374217864, 
7, 9, 0.00402502835815434, 
7, 11, 0.000100625708953859, 
7, 14, 0.0017106370522156, 
9, 2, 0.0929319469270561, 
9, 4, 0.00635039938848794, 
9, 6, 2.34214227236772e-05, 
9, 7, 0.000648347565396338, 
9, 11, 0.00133573083533214, 
11, 2, 0.00186567164179104, 
11, 4, 0.0567993366500829, 
11, 6, 0.00310945273631841, 
11, 7, 0.00497512437810945, 
11, 9, 0.00165837479270315, 
11, 14, 0.0609452736318408, 
14, 2, 0.0100514832066683, 
14, 4, 0.0963471439078206, 
14, 6, 0.00441284628585438, 
14, 7, 0.00465800441284629, 
14, 11, 0.0049031625398382, 
